keyword,search_volume,intent,commercial_value,difficulty,current_position,target_position,primary_owning_url,role,secondary_supporting_urls,title_coverage,meta_coverage,h1_coverage,h2_coverage,body_coverage,faq_coverage,internal_anchor_coverage,cannibalisation_risk,competitor_gap,serp_similarity,optimization_score,next_action,silo,page_visitors,page_pageviews,page_conversions,page_seconds,page_bounce,page_sessions,behaviour_source,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,gsc_ranking_url,demand_share
looking for chef,10,informational,62.9,,,10,/our-chefs,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.08,0,write one sentence that says it,Private Chef,11,14,1,58,0.444,9,first-party,,,,,,
private chef hire,10,transactional,43.7,,55,10,/our-chefs,sub,/blog/how-to-hire-a-private-chef-dubai,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.38,2,write one sentence that says it; merge → /locations/dubai-marina,Private Chef,11,14,1,58,0.444,9,first-party,0,19,0,54.9,/,0.633
full time private chef,10,commercial,49.7,,37,10,/part-time-private-chef-dubai,sub,/blog/halal-private-dining-dubai-what-to-ask /blog/how-to-hire-a-private-chef-dubai /blog/private-chef-vs-restaurant-dubai /blog/weekly-meal-prep-vs-full-time-chef-dubai /full-time-private-chef-dubai /private-chef-dubai,False,False,False,False,1,False,partial,medium — many bodies say it,"no tracked competitor in top 30, we #30",0.33,4,a second natural mention,Private Chef,0,0,0,2,1.0,3,first-party,0,4,0,37,/,0.133
the private chef,10,informational,0,,28,10,/part-time-private-chef-dubai,sub,/blog/best-private-chef-birthday-dinner-dubai /blog/brunch-at-home-dubai /blog/how-much-does-private-chef-cost-dubai /blog/private-chef-date-night-dubai /blog/private-chef-vs-restaurant-dubai /dubai-food-trends-report-2026,False,False,False,False,0,False,partial,medium — many bodies say it,"no tracked competitor in top 30, we #31",0.45,2,write one sentence that says it,Private Chef,0,0,0,2,1.0,3,first-party,0,2,0,27.5,/,0.067
catering requirements for events,10,informational,0,,,10,/partner-with-us,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Partners / Recruit,3,3,0,,,0,,,,,,,
catering services list,10,commercial,0.9,,,10,/partner-with-us,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Partners / Recruit,3,3,0,,,0,,,,,,,
a gala event catering,10,transactional,0,,,10,/partners/event-planners-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it,Partners / Recruit,0,0,0,,,0,,,,,,,
yacht chef requirements,10,transactional,0,,,10,/partners/yacht-charters-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it,Partners / Recruit,0,0,0,,,0,,,,,,,
private chef dubai monthly,10,commercial,25.9,,24,10,/private-chef-dubai,sub,/part-time-private-chef-dubai,False,False,False,False,0,False,partial,low,,,2,write one sentence that says it,Private Chef,114,355,0,143.3,0.3571,14,ga4,0,16,0,23.5,/private-chef-dubai,0.533
chef middle east llc dubai,10,navigational,3.6,,,10,/private-chef-dubai/how-it-works,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it,Private Chef,29,47,0,20,0.5,18,first-party,,,,,,
household chef,10,informational,12.7,,34,10,/private-chef-dubai/how-it-works,sub,/birthday-catering-dubai /catering-packages-dubai /cuisines-dubai /engagement-catering-dubai /events /full-time-private-chef-dubai,False,False,False,True,4,False,exact,medium — many bodies say it,"no tracked competitor in top 30, we #29",0.27,4,remove it from the heading (subs live in sentences),Private Chef,29,47,0,20,0.5,18,first-party,0,4,0,33.8,/,0.133
private chef agency,10,commercial,50,,47,10,/private-chef-dubai/how-it-works,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.08,1,write one sentence that says it,Private Chef,29,47,0,20,0.5,18,first-party,0,3,0,46.7,/,0.1
private chef service,10,commercial,0,,,10,/private-chef-dubai/how-it-works,sub,/blog/how-much-does-private-chef-cost-dubai /blog/iftar-at-home-dubai /blog/private-chef-palm-jumeirah-guide /brunch-catering-dubai /chefs-table-dubai /christmas-catering-dubai,True,False,True,True,2,True,partial,medium — many bodies say it,no tracked competitor in top 30,0.33,5,remove it from the heading (subs live in sentences),Private Chef,29,47,0,20,0.5,18,first-party,,,,,,
private chef services,10,commercial,0,,21,10,/private-chef-dubai/how-it-works,sub,/apartment-private-dining-dubai /birthday-catering-dubai /blog/how-much-does-private-chef-cost-dubai /blog/how-to-hire-a-private-chef-dubai /booking-protection-insurance /catering-dubai,False,False,False,False,0,False,partial,medium — many bodies say it,"no tracked competitor in top 30, we #29",0.22,2,write one sentence that says it,Private Chef,29,47,0,20,0.5,18,first-party,0,3,0,21,/,0.1
how much is a private chef in dubai,10,commercial,0,,31,10,/private-chef-dubai/pricing,sub,/private-chef-prices-dubai,False,False,False,False,2,True,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #31",0.44,8,merge → /blog/how-much-does-private-chef-cost-dubai,Private Chef,32,39,1,0.0,1,1,ga4,,,,,,
private chef for dinner party,10,transactional,91.1,,,10,/private-chef-dubai/pricing,sub,,False,False,False,False,1,True,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.22,5,a second natural mention,Private Chef,32,39,1,0.0,1,1,ga4,,,,,,
personal chef vs private chef,10,commercial,0,29,,10,/private-chef-vs-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Blog and Guides,1,1,0,,,0,,,,,,,
gulf catering company uae,10,commercial,0,,,10,/quality-guarantee-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Trust / Utility,0,0,0,,,0,,,,,,,
ramadan buffet catering,10,commercial,0,,,10,/ramadan-catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.38,1,write one sentence that says it,Seasonal and Occasions,0,0,0,,,0,,,,,,,
ramadan catering menu,10,commercial,0,,,10,/ramadan-catering-guide-dubai,sub,/ramadan-catering-dubai,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.29,2,write one sentence that says it,Blog and Guides,1,1,0,,,0,,,,,,,
private dining for two dubai,10,transactional,0,34,31,10,/romantic-dinner-dubai,sub,,False,False,False,False,2,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,5,merge → /luxury-dining-experiences,Dining Experiences,3,3,0,13,1.0,3,first-party,0,4,0,31,/luxury-dining-experiences,0.133
private dinner for two dubai,10,transactional,0,,,10,/romantic-dinner-dubai,sub,,False,False,False,False,2,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.15,5,hold — nothing to do,Dining Experiences,3,3,0,13,1.0,3,first-party,,,,,,
romantic dinner dubai beach,10,transactional,0,,,10,/romantic-dinner-dubai,sub,,False,False,False,False,2,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,5,hold — nothing to do,Dining Experiences,3,3,0,13,1.0,3,first-party,,,,,,
new years day catering,10,commercial,0,,16,10,/uae-national-day-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,"no tracked competitor in top 30, we #20",0.0,0,write one sentence that says it,Seasonal and Occasions,0,0,0,,,0,,0,1,0,16,/new-year-catering-dubai,0.033
dubai self catering holidays,10,commercial,0,,,10,/villa-catering-ideas-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it,Blog and Guides,0,0,0,,,0,,,,,,,
checklist for catering event,10,transactional,0,,,10,/wedding-catering-checklist-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,1,write one sentence that says it,Blog and Guides,3,6,0,,,0,,,,,,,
when to book caterer for wedding,10,commercial,0,,,10,/wedding-catering-dubai,sub,,False,False,False,False,1,True,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,5,a second natural mention,Catering,5,8,0,111.0,0,1,ga4,,,,,,
catering menu dubai,10,transactional,7.2,,,10,/wedding-catering-menu-planning-dubai,sub,/afternoon-tea-catering-dubai /allergy-safe-catering-dubai /arabic-catering-dubai /baby-shower-catering-dubai /bar-services-dubai /bbq-catering-dubai,False,False,True,False,1,False,partial,medium — many bodies say it,no tracked competitor in top 30,0.0,1,a second natural mention; remove it from the heading (subs live in sentences),Blog and Guides,1,1,0,,1.0,2,first-party,,,,,,
healthy food chef,10,commercial,0,,,10,/wellness-meal-prep-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.0,0,write one sentence that says it,Private Chef,6,11,0,16,0.429,7,first-party,,,,,,
monthly healthy meal plan dubai for weight loss,10,commercial,33.3,,,10,/wellness-meal-prep-dubai,sub,,False,False,False,False,0,False,partial,low,no tracked competitor in top 30,0.5,1,write one sentence that says it,Private Chef,6,11,0,16,0.429,7,first-party,,,,,,
catering service checklist,10,informational,0,,,10,/yacht-catering-checklist-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Blog and Guides,0,0,0,,,0,,,,,,,
yacht food ideas,10,informational,0,,,10,/yacht-catering-guide-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,,3,a second natural mention,Blog and Guides,1,1,0,,,0,,,,,,,
yacht party food ideas,10,informational,0,,,10,/yacht-catering-guide-dubai,sub,/blog/yacht-party-menu-ideas-dubai,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,,4,a second natural mention,Blog and Guides,1,1,0,,,0,,,,,,,
mychef dubai,0,navigational,0,,1,10,/,primary,/about /arabic-catering-dubai /asian-catering-dubai /baby-shower-catering-dubai /bar-services-dubai /bbq-catering-dubai,True,False,True,True,1,False,partial,high — used in other pages' headings,"no tracked competitor in top 30, we #1",1.0,6,"no measured UAE demand, but the page gets visits — check the phrasing against what they search; say it in the meta description; use it at least twice in the body; answer a FAQ that contains it; get an inbound link with this anchor; remove it from 44 other page(s)' headings",Brand / Homepage,304,537,6,584.3,0,12,ga4,,,,,,
fine dining at home dubai,0,commercial,0,,32,20,/,sub,/halal-private-dining-dubai,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #32",0.0,4,a second natural mention; merge → /apartment-private-dining-dubai,Brand / Homepage,304,537,6,584.3,0,12,ga4,,,,,,
my chef dubai,0,,0,,,20,/,sub,,False,False,False,False,0,False,partial,low,,,1,write one sentence that says it,Brand / Homepage,304,537,6,584.3,0,12,ga4,,,,,,
private chef company dubai,0,commercial,0,,22,10,/about,primary,,True,True,True,False,2,False,none,low,"no tracked competitor in top 30, we #22",1.0,7,"no measured UAE demand, but the page gets visits — check the phrasing against what they search; one H2 carries it; answer a FAQ that contains it; get an inbound link with this anchor",Brand / Homepage,30,51,0,2,0.833,6,first-party,,,,,,
about mychef dubai,0,navigational,0,,2,10,/about,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #2",0.0,1,write one sentence that says it,Brand / Homepage,30,51,0,2,0.833,6,first-party,,,,,,
luxury catering company dubai,0,commercial,0,,,20,/about,sub,,False,False,False,False,1,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.0,2,a second natural mention,Brand / Homepage,30,51,0,2,0.833,6,first-party,,,,,,
personal chef services availability in dubai,0,commercial,0,,,20,/about,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.33,0,write one sentence that says it; merge → /apartment-private-dining-dubai,Brand / Homepage,30,51,0,2,0.833,6,first-party,,,,,,
personal chef services on offer in dubai,0,commercial,0,,,20,/about,sub,,False,False,False,False,1,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.38,2,a second natural mention; merge → /private-chef-dubai/how-it-works,Brand / Homepage,30,51,0,2,0.833,6,first-party,,,,,,
private chef agency dubai,0,commercial,0,,,20,/about,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.33,0,write one sentence that says it; merge → /locations/dubai-hills,Brand / Homepage,30,51,0,2,0.833,6,first-party,,,,,,
top personal chef services provider in dubai,0,commercial,0,,,20,/about,sub,,False,False,False,False,1,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.33,2,a second natural mention; merge → /our-chefs,Brand / Homepage,30,51,0,2,0.833,6,first-party,,,,,,
afternoon tea catering dubai,0,commercial,0,,9,20,/afternoon-tea-catering-dubai,primary,,True,True,True,True,6,True,partial,low,no tracked competitor in top 30,1.0,9,"no measured UAE demand, but the page gets visits — check the phrasing against what they search; get an inbound link with this anchor",Private Events,1,1,0,,,0,,0,3,0,8.7,/afternoon-tea-catering-dubai,
afternoon tea at home dubai,0,transactional,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,True,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,5,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
afternoon tea caterers near me,0,,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,low,,,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
afternoon tea catering dubai price,0,commercial,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.25,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
afternoon tea catering menu dubai,0,transactional,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.25,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
afternoon tea catering packages dubai,0,commercial,0,,18,10,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #18",0.36,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
afternoon tea catering price per person dubai,0,commercial,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.23,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
afternoon tea grazing table,0,,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,0,False,partial,low,,,1,write one sentence that says it,Private Events,1,1,0,,,0,,,,,,,
best afternoon tea catering dubai,0,commercial,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.07,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
best afternoon tea dubai,0,,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,low,,,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
birthday afternoon tea dubai,0,,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,low,,,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
halal afternoon tea catering dubai,0,commercial,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,1,False,partial,low,,,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
high tea catering dubai,0,commercial,0,,,20,/afternoon-tea-catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.23,1,write one sentence that says it,Private Events,1,1,0,,,0,,,,,,,
allergy safe catering dubai,0,commercial,0,,2,10,/allergy-safe-catering-dubai,primary,/kids-nutrition-chef-dubai /mediterranean-catering-dubai,True,True,True,True,5,True,exact,low,"no tracked competitor in top 30, we #2",1.0,10,"no measured UAE demand, but the page gets visits — check the phrasing against what they search",Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
allergy safe catering cost per person dubai,0,commercial,0,,2,10,/allergy-safe-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #2",0.17,3,a second natural mention,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
allergy safe catering dubai price,0,commercial,0,,,20,/allergy-safe-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.08,3,a second natural mention,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
allergy safe catering menu dubai,0,informational,0,,2,10,/allergy-safe-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #2",0.36,3,a second natural mention,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
allergy safe catering packages dubai,0,commercial,0,,1,10,/allergy-safe-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #1",0.3,3,a second natural mention,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
best allergy safe catering dubai,0,commercial,0,,2,10,/allergy-safe-catering-dubai,sub,,False,False,False,False,1,False,partial,low,"no tracked competitor in top 30, we #2",0.71,3,a second natural mention,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
catering for guests with food allergies dubai,0,commercial,0,,2,10,/allergy-safe-catering-dubai,sub,,False,False,False,False,1,False,partial,low,"no tracked competitor in top 30, we #2",0.57,3,a second natural mention,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
catering services availability in dubai,0,,0,,,20,/allergy-safe-catering-dubai,sub,,False,False,False,False,0,False,partial,low,,,1,write one sentence that says it,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
event catering,0,,0,,39,20,/allergy-safe-catering-dubai,sub,/apartment-private-dining-dubai /arabic-catering-dubai /birthday-catering-dubai /blog /blog/corporate-catering-full-service-vs-drop-off /blog/corporate-event-catering-ideas-dubai,False,False,False,False,1,False,partial,medium — many bodies say it,,,4,"a second natural mention; Google ranks /blog/corporate-event-catering-ideas-dubai for this, not the owner — move the keyword or the content",Cuisines and Dietary,3,3,0,65,0.0,1,first-party,0,23,0,38.9,/blog/corporate-event-catering-ideas-dubai,
food safety in dubai,0,,0,,,20,/allergy-safe-catering-dubai,sub,/blog/brunch-at-home-dubai /blog/how-far-ahead-book-caterer-dubai /blog/how-to-hire-a-private-chef-dubai,False,False,False,False,0,False,none,low,,,1,write one sentence that says it,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
most reliable catering in dubai,0,,0,,,20,/allergy-safe-catering-dubai,sub,,False,False,False,False,0,False,partial,low,,,1,write one sentence that says it,Cuisines and Dietary,3,3,0,65,0.0,1,first-party,,,,,,
private chef for apartment dubai,0,transactional,0,,,20,/apartment-private-dining-dubai,primary,,True,True,True,True,3,True,partial,low,no tracked competitor in top 30,1.0,9,no measured UAE demand for this primary — re-target it or merge the page; get an inbound link with this anchor,Dining Experiences,0,0,0,,,0,,,,,,,
apartment dinner party dubai,0,transactional,0,,,20,/apartment-private-dining-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Dining Experiences,0,0,0,,,0,,,,,,,
apartment private dining packages dubai,0,commercial,0,,,20,/apartment-private-dining-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Dining Experiences,0,0,0,,,0,,,,,,,
best private chef for apartment dubai,0,commercial,0,,,20,/apartment-private-dining-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,0.71,3,a second natural mention,Dining Experiences,0,0,0,,,0,,,,,,,
personal chef availability in dubai,0,commercial,0,,,20,/apartment-private-dining-dubai,sub,,False,False,False,False,0,False,none,low,no tracked competitor in top 30,0.71,0,write one sentence that says it,Dining Experiences,0,0,0,,,0,,,,,,,
private chef apartment dubai price,0,commercial,0,,21,10,/apartment-private-dining-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #21",0.0,3,a second natural mention,Dining Experiences,0,0,0,,,0,,,,,,,
private dining chef,0,,0,,29,10,/apartment-private-dining-dubai,sub,/blog/private-chef-palm-jumeirah-guide /locations/bluewaters-island,False,False,False,False,0,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #24",0.09,2,"write one sentence that says it; Google ranks / for this, not the owner — move the keyword or the content",Dining Experiences,0,0,0,,,0,,0,55,0,29.3,/,
arabian ranches dining,0,,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,0,False,none,low,,,0,write one sentence that says it,Cuisines and Dietary,8,9,0,,,0,,,,,,,
arabic catering cost per person dubai,0,commercial,0,,34,20,/arabic-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,"no tracked competitor in top 30, we #34",0.14,3,a second natural mention,Cuisines and Dietary,8,9,0,,,0,,,,,,,
arabic catering dubai price,0,commercial,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.36,3,a second natural mention,Cuisines and Dietary,8,9,0,,,0,,,,,,,
arabic catering menu dubai,0,transactional,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.42,3,a second natural mention,Cuisines and Dietary,8,9,0,,,0,,,,,,,
arabic catering packages dubai,0,commercial,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.42,3,a second natural mention,Cuisines and Dietary,8,9,0,,,0,,,,,,,
best arabic catering dubai,0,commercial,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.45,3,a second natural mention,Cuisines and Dietary,8,9,0,,,0,,,,,,,
catering arabic food dubai,0,,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,0,False,partial,low,,,1,write one sentence that says it,Cuisines and Dietary,8,9,0,,,0,,,,,,,
corporate catering,0,,0,,40,20,/arabic-catering-dubai,sub,/become-a-mychef /best-catering-companies-dubai /blog /blog/corporate-catering-full-service-vs-drop-off /blog/corporate-event-catering-ideas-dubai /brand-activation-catering-dubai,False,False,False,False,1,True,partial,medium — many bodies say it,,,6,"a second natural mention; Google ranks /corporate-catering-checklist-dubai for this, not the owner — move the keyword or the content",Cuisines and Dietary,8,9,0,,,0,,0,282,0,39.9,/corporate-catering-checklist-dubai,
mezze catering dubai,0,transactional,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.06,1,write one sentence that says it,Cuisines and Dietary,8,9,0,,,0,,,,,,,
middle eastern catering dubai,0,commercial,0,,,20,/arabic-catering-dubai,sub,,False,False,False,False,0,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.21,1,write one sentence that says it,Cuisines and Dietary,8,9,0,,,0,,,,,,,
asian catering dubai,0,commercial,0,,,20,/asian-catering-dubai,primary,,True,True,True,False,2,False,none,low,no tracked competitor in top 30,1.0,7,"no measured UAE demand, but the page gets visits — check the phrasing against what they search; one H2 carries it; answer a FAQ that contains it; get an inbound link with this anchor",Cuisines and Dietary,1,1,0,,,0,,,,,,,
asian catering cost per person dubai,0,commercial,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.15,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
asian catering dubai price,0,commercial,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.21,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
asian catering menu dubai,0,transactional,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.38,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
asian catering packages dubai,0,commercial,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.36,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
bbq catering in dubai,0,,0,,,20,/asian-catering-dubai,sub,/bbq-catering-dubai /blog/nye-party-catering-dubai /private-party-catering-dubai,False,False,False,False,0,False,none,low,,,1,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
best asian catering dubai,0,commercial,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.25,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
birthday catering in dubai,0,,0,,,20,/asian-catering-dubai,sub,/birthday-catering-dubai /catering-dubai /events /private-party-catering-dubai,False,False,False,False,0,False,none,low,,,1,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
chinese catering dubai,0,commercial,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.15,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
halal asian catering dubai,0,commercial,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.25,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
pan asian catering dubai,0,commercial,0,,,20,/asian-catering-dubai,sub,,False,False,False,False,0,False,none,medium — SERP looks like another page,no tracked competitor in top 30,0.14,0,write one sentence that says it,Cuisines and Dietary,1,1,0,,,0,,,,,,,
baby shower catering dubai,0,commercial,0,,57,20,/baby-shower-catering-dubai,primary,,True,True,True,True,5,True,partial,low,no tracked competitor in top 30,1.0,9,"no measured UAE demand, but the page gets visits — check the phrasing against what they search; get an inbound link with this anchor",Private Events,1,1,0,,,0,,0,16,0,57.4,/baby-shower-catering-dubai,
baby shower caterers near me,0,,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,low,,,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
baby shower catering cost per person dubai,0,commercial,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.2,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
baby shower catering dubai price,0,commercial,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.43,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
baby shower catering menu dubai,0,commercial,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,0.83,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
baby shower catering packages dubai,0,commercial,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,low,no tracked competitor in top 30,0.62,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
baby shower food and drinks catering,0,commercial,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,3,True,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.22,7,hold — nothing to do,Private Events,1,1,0,,,0,,,,,,,
baby shower food dubai,0,,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,low,,,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
baby shower grazing table dubai,0,transactional,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,medium — SERP looks like another page,no tracked competitor in top 30,0.0,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
best baby shower catering dubai,0,commercial,0,,,20,/baby-shower-catering-dubai,sub,,False,False,False,False,1,False,partial,low,,,3,a second natural mention,Private Events,1,1,0,,,0,,,,,,,
